2021-2022学年度春季学期  本科生课程开课目录,,,,,,,,,,,,
开课院系,课程号,课序号,课程名,学分,任课教师,课容量,上课时间,上课周次,课程特色,选课文字说明,所属年级,是否二级选课
建筑学院,00000092,0,实现低碳的蒸发冷却技术,2,谢晓云,50,21,全周,,,2021,否
建筑学院,10000082,0,室内环境与健康,2,曹彬,45,16,全周,文化素质课;实践课;通识选修课,,2021,否
建筑学院,20000021,0,建筑设计概论（2）,1,王路,130,12,前八周,,限:建筑学院学生选课,2020,否
建筑学院,30000021,0,城市社会学,1,顾朝林,40,22,前八周,,限:建筑学院学生选课,2020,否
建筑学院,30000031,0,城市基础设施规划导论,1,赵亮,32,12,后八周,,限:建筑学院学生选课,2019,否
建筑学院,30000264,1,建筑设计（2上）,4,陈瑾羲,10,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000264,2,建筑设计（2上）,4,周正楠,11,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000264,3,建筑设计（2上）,4,张昕,11,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000264,4,建筑设计（2上）,4,郭逊,11,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000264,5,建筑设计（2上）,4,范路,11,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000264,6,建筑设计（2上）,4,张弘,10,"13,14",全周,实验课,非建筑大类的学生选课,,否
建筑学院,30000264,7,建筑设计（2上）,4,刘晨,11,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000264,8,建筑设计（2上）,4,韦诗誉,11,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000264,9,建筑设计（2上）,4,朱宁,7,"13,14,41,42",前八周,实验课,"限:建筑学院学生选课; 在线课堂,未返校留学生选",2021,否
建筑学院,30000264,10,建筑设计（2上）,4,尹思谨,11,"13,14,41,42",前八周,实验课,限:建筑学院学生选课,2021,否
建筑学院,30000274,1,建筑设计（2下）,4,陈瑾羲,11,"13,14,41,42",后八周,实验课,限:建筑学院学生选课,2021,否
